run,fitness,n_evaluations,experiment_id
0,437165.7191664715,1000,7
1,404320.0497281608,760,7
2,365340.34077940625,650,7
3,359031.1693513094,500,7
4,437610.87335719774,1000,7
5,391486.47072984284,550,7
6,372605.8089738329,680,7
7,425396.18687105144,820,7
8,369436.06787390396,700,7
9,372934.94544270064,890,7
10,442706.97288469365,960,7
11,379761.82910541847,610,7
12,379403.5995207412,1000,7
13,389413.2331316642,1000,7
14,363048.00914941815,560,7
15,371818.5646744942,730,7
16,369277.25527598336,740,7
17,407062.2363274047,550,7
18,379918.7954229362,1000,7
19,396462.5521946956,1000,7
20,370260.3237707316,930,7
21,376319.7754177553,580,7
22,370724.81944631564,1000,7
23,389942.4364758917,590,7
24,459948.286833516,890,7
25,313850.37513568683,600,7
26,347427.27215308516,830,7
27,402754.2143779533,550,7
28,371618.61389427725,570,7
29,433972.08085629315,990,7
30,419496.4050833282,1000,7
