run,fitness,n_evaluations,experiment_id
0,437740.49907436466,241,3
1,371323.1301129055,119,3
2,427661.15756415756,97,3
3,461781.2908750278,237,3
4,375225.8871227995,107,3
5,357676.8365678891,59,3
6,364681.44260532793,87,3
7,428550.8366507715,293,3
8,388019.7483616592,175,3
9,370927.4794450446,109,3
10,398506.8082684567,135,3
11,396603.6153865818,169,3
12,322473.5835973754,85,3
13,349668.36052979814,111,3
14,396580.84548011934,167,3
15,382779.0345805565,97,3
16,329860.99052051536,123,3
17,404870.7431520496,217,3
18,434801.1459050856,191,3
19,357419.71996096644,117,3
20,324855.02180468704,79,3
21,350550.6168700564,99,3
22,362323.6106817642,183,3
23,384403.19901415,147,3
24,380005.5557829061,167,3
25,348756.8071143074,127,3
26,386851.4747444288,85,3
27,434565.52510596876,179,3
28,367387.53954924335,97,3
29,346043.2786056299,121,3
30,372548.5936897136,125,3
